SW,Predicted_GPP,CO2
201.3709394,3660.711284,403.027
201.7185051,3666.323925,403.027
202.0660707,3671.936566,403.027
202.4136364,3677.549206,403.027
202.761202,3683.161847,403.027
203.1087677,3688.774488,403.027
203.4563333,3694.387129,403.027
203.803899,3699.99977,403.027
204.1514646,3705.612411,403.027
204.4990303,3711.225052,403.027
204.846596,3716.837693,403.027
205.1941616,3722.450334,403.027
205.5417273,3728.062975,403.027
205.8892929,3733.675615,403.027
206.2368586,3739.288256,403.027
206.5844242,3744.900897,403.027
206.9319899,3750.513538,403.027
207.2795556,3756.126179,403.027
207.6271212,3761.73882,403.027
207.9746869,3767.351461,403.027
208.3222525,3772.964102,403.027
208.6698182,3778.576743,403.027
209.0173838,3784.189384,403.027
209.3649495,3789.802024,403.027
209.7125152,3795.414665,403.027
210.0600808,3801.027306,403.027
210.4076465,3806.639947,403.027
210.7552121,3812.252588,403.027
211.1027778,3817.865229,403.027
211.4503434,3823.47787,403.027
211.7979091,3829.090511,403.027
212.1454747,3834.703152,403.027
212.4930404,3840.315792,403.027
212.8406061,3845.928433,403.027
213.1881717,3851.541074,403.027
213.5357374,3857.153715,403.027
213.883303,3862.766356,403.027
214.2308687,3868.378997,403.027
214.5784343,3873.991638,403.027
214.926,3879.604279,403.027
