CO2 Concentration,Predicted_GPP,SW,
394.1111111,2952.341752,136.9730833,2108.815537
394.3333333,2993.590677,136.9730833,2138.279055
394.5555556,3034.839602,136.9730833,2167.742573
394.7777778,3076.088527,136.9730833,2197.206091
395,3117.337452,136.9730833,2226.669609
395.2222222,3158.586376,136.9730833,2256.133126
395.4444444,3199.835301,136.9730833,2285.596644
395.6666667,3241.084226,136.9730833,2315.060161
395.8888889,3282.333151,136.9730833,2344.523679
396.1111111,3323.582076,136.9730833,2373.987197
396.3333333,3364.831001,136.9730833,2403.450715
396.5555556,3406.079925,136.9730833,2432.914232
396.7777778,3447.32885,136.9730833,2462.37775
397,3488.577775,136.9730833,2491.841268
397.2222222,3529.8267,136.9730833,2521.304786
397.4444444,3571.075625,136.9730833,2550.768304
397.6666667,3612.32455,136.9730833,2580.231821
397.8888889,3653.573474,136.9730833,2609.695339
398.1111111,3694.822399,136.9730833,2639.158856
398.3333333,3736.071324,136.9730833,2668.622374
398.5555556,3777.320249,136.9730833,2698.085892
398.7777778,3818.569174,136.9730833,2727.54941
399,3859.818099,136.9730833,2757.012928
399.2222222,3901.067023,136.9730833,2786.476445
399.4444444,3942.315948,136.9730833,2815.939963
399.6666667,3983.564873,136.9730833,2845.403481
399.8888889,4024.813798,136.9730833,2874.866999
400.1111111,4066.062723,136.9730833,2904.330516
400.3333333,4107.311648,136.9730833,2933.794034
400.5555556,4148.560572,136.9730833,2963.257551
400.7777778,4189.809497,136.9730833,2992.721069
401,4231.058422,136.9730833,3022.184587
401.2222222,4272.307347,136.9730833,3051.648105
401.4444444,4313.556272,136.9730833,3081.111623
401.6666667,4354.805197,136.9730833,3110.575141
401.8888889,4396.054121,136.9730833,3140.038658
402.1111111,4437.303046,136.9730833,3169.502176
402.3333333,4478.551971,136.9730833,3198.965694
402.5555556,4519.800896,136.9730833,3228.429211
402.7777778,4561.049821,136.9730833,3257.892729
403,4602.298746,136.9730833,3287.356247
381,22.31922635,149.489,15.94230454
381.2222222,69.54634145,149.489,49.67595818
381.4444444,116.7734565,149.489,83.40961179
381.6666667,164.0005716,149.489,117.1432654
381.8888889,211.2276867,149.489,150.8769191
382.1111111,258.4548018,149.489,184.6105727
382.3333333,305.6819169,149.489,218.3442264
382.5555556,352.909032,149.489,252.07788
382.7777778,400.1361471,149.489,285.8115336
383,447.3632622,149.489,319.5451873
383.2222222,494.5903773,149.489,353.2788409
383.4444444,541.8174924,149.489,387.0124946
383.6666667,589.0446075,149.489,420.7461482
383.8888889,636.2717226,149.489,454.4798019
384.1111111,683.4988377,149.489,488.2134555
384.3333333,730.7259528,149.489,521.9471091
384.5555556,777.9530679,149.489,555.6807628
384.7777778,825.180183,149.489,589.4144164
385,872.4072981,149.489,623.1480701
385.2222222,919.6344132,149.489,656.8817237
385.4444444,966.8615283,149.489,690.6153774
385.6666667,1014.088643,149.489,724.3490307
385.8888889,1061.315758,149.489,758.0826843
386.1111111,1108.542874,149.489,791.8163386
386.3333333,1155.769989,149.489,825.5499921
386.5555556,1202.997104,149.489,859.2836457
386.7777778,1250.224219,149.489,893.0172993
387,1297.451334,149.489,926.7509529
387.2222222,1344.678449,149.489,960.4846064
387.4444444,1391.905564,149.489,994.21826
387.6666667,1439.132679,149.489,1027.951914
387.8888889,1486.359794,149.489,1061.685567
388.1111111,1533.586909,149.489,1095.419221
388.3333333,1580.814025,149.489,1129.152875
388.5555556,1628.04114,149.489,1162.886529
388.7777778,1675.268255,149.489,1196.620182
389,1722.49537,149.489,1230.353836
