CO2 Concentration,Predicted_GPP,T
380.37271717171717,1701.8002958741376,6.116
381.5047272727273,1705.7228196570277,6.116
382.6367373737374,1709.6453434399177,6.116
383.7687474747475,1713.5678672228073,6.116
384.90075757575755,1717.490391005697,6.116
386.03276767676766,1721.412914788587,6.116
387.1647777777778,1725.335438571477,6.116
388.2967878787879,1729.2579623543666,6.116
389.428797979798,1733.1804861372566,6.116
390.5608080808081,1737.1030099201466,6.116
391.6928181818182,1741.0255337030362,6.116
392.8248282828283,1744.9480574859263,6.116
393.9568383838384,1748.870581268816,6.116
395.0888484848485,1752.7931050517059,6.116
396.2208585858586,1756.7156288345957,6.116
397.3528686868687,1760.6381526174855,6.116
398.4848787878788,1764.5606764003753,6.116
399.61688888888887,1768.4832001832651,6.116
400.748898989899,1772.4057239661552,6.116
401.8809090909091,1776.3282477490447,6.116
403.0129191919192,1780.2507715319348,6.116
404.1449292929293,1784.1732953148248,6.116
405.2769393939394,1788.0958190977144,6.116
406.4089494949495,1792.0183428806045,6.116
407.54095959595963,1795.940866663494,6.116
408.67296969696974,1799.863390446384,6.116
409.8049797979798,1803.7859142292737,6.116
410.9369898989899,1807.7084380121637,6.116
412.069,1811.6309617950533,6.116
300.0,1885.043839982222,8.340947368421054
301.1320101010101,1896.5341344414023,8.340947368421054
302.2640202020202,1908.0244289005823,8.340947368421054
303.39603030303033,1919.5147233597627,8.340947368421054
304.5280404040404,1931.0050178189422,8.340947368421054
305.6600505050505,1942.4953122781221,8.340947368421054
306.7920606060606,1953.985606737302,8.340947368421054
307.9240707070707,1965.4759011964825,8.340947368421054
309.0560808080808,1976.9661956556622,8.340947368421054
310.18809090909093,1988.4564901148424,8.340947368421054
311.320101010101,1999.9467845740219,8.340947368421054
312.4521111111111,2011.4370790332016,8.340947368421054
313.5841212121212,2022.927373492382,8.340947368421054
314.7161313131313,2034.4176679515622,8.340947368421054
315.8481414141414,2045.907962410742,8.340947368421054
316.98015151515153,2057.398256869922,8.340947368421054
318.11216161616164,2068.8885513291025,8.340947368421054
319.2441717171717,2080.3788457882815,8.340947368421054
320.3761818181818,2091.8691402474624,8.340947368421054
321.5081919191919,2103.359434706642,8.340947368421054
322.640202020202,2114.8497291658223,8.340947368421054
323.77221212121214,2126.340023625002,8.340947368421054
324.90422222222224,2137.830318084182,8.340947368421054
326.0362323232323,2149.320612543362,8.340947368421054
327.1682424242424,2160.810907002542,8.340947368421054
328.3002525252525,2172.301201461722,8.340947368421054
329.4322626262626,2183.791495920902,8.340947368421054
330.56427272727274,2195.2817903800824,8.340947368421054
331.69628282828285,2206.7720848392623,8.340947368421054
332.82829292929296,2218.2623792984423,8.340947368421054
333.960303030303,2229.7526737576222,8.340947368421054
335.0923131313131,2241.242968216802,8.340947368421054
336.22432323232323,2252.733262675982,8.340947368421054
337.35633333333334,2264.223557135162,8.340947368421054
338.48834343434345,2275.713851594342,8.340947368421054
339.62035353535356,2287.204146053522,8.340947368421054
340.7523636363636,2298.694440512702,8.340947368421054
341.8843737373737,2310.184734971882,8.340947368421054
343.01638383838383,2321.6750294310623,8.340947368421054
344.14839393939394,2333.165323890242,8.340947368421054
345.28040404040405,2344.655618349422,8.340947368421054
346.41241414141416,2356.1459128086017,8.340947368421054
347.54442424242427,2367.636207267783,8.340947368421054
348.6764343434344,2379.1265017269625,8.340947368421054
349.80844444444443,2390.616796186142,8.340947368421054
350.94045454545454,2402.1070906453224,8.340947368421054
352.07246464646465,2413.597385104502,8.340947368421054
353.20447474747476,2425.0876795636823,8.340947368421054
354.3364848484849,2436.5779740228627,8.340947368421054
355.4684949494949,2448.068268482042,8.340947368421054
356.60050505050503,2459.5585629412217,8.340947368421054
357.73251515151514,2471.048857400402,8.340947368421054
358.86452525252525,2482.5391518595816,8.340947368421054
359.99653535353536,2494.029446318762,8.340947368421054
361.1285454545455,2505.5197407779424,8.340947368421054
362.2605555555556,2517.010035237123,8.340947368421054
363.3925656565657,2528.5003296963023,8.340947368421054
364.52457575757575,2539.990624155482,8.340947368421054
365.65658585858586,2551.4809186146613,8.340947368421054
366.78859595959597,2562.9712130738417,8.340947368421054
367.9206060606061,2574.461507533022,8.340947368421054
369.0526161616162,2585.9518019922025,8.340947368421054
370.18462626262624,2597.442096451382,8.340947368421054
371.31663636363635,2608.932390910562,8.340947368421054
372.44864646464646,2620.422685369742,8.340947368421054
373.58065656565657,2631.912979828922,8.340947368421054
374.7126666666667,2643.4032742881022,8.340947368421054
375.8446767676768,2654.893568747282,8.340947368421054
376.9766868686869,2666.3838632064626,8.340947368421054
378.108696969697,2677.8741576656425,8.340947368421054
379.24070707070706,2689.3644521248216,8.340947368421054
380.37271717171717,2700.854746584002,8.340947368421054
381.5047272727273,2712.3450410431824,8.340947368421054
382.6367373737374,2723.835335502363,8.340947368421054
383.7687474747475,2735.3256299615423,8.340947368421054
384.90075757575755,2746.815924420722,8.340947368421054
386.03276767676766,2758.306218879902,8.340947368421054
387.1647777777778,2769.7965133390826,8.340947368421054
388.2967878787879,2781.286807798262,8.340947368421054
389.428797979798,2792.7771022574425,8.340947368421054
390.5608080808081,2804.267396716623,8.340947368421054
391.6928181818182,2815.7576911758024,8.340947368421054
392.8248282828283,2827.247985634983,8.340947368421054
393.9568383838384,2838.7382800941623,8.340947368421054
395.0888484848485,2850.2285745533427,8.340947368421054
396.2208585858586,2861.718869012522,8.340947368421054
397.3528686868687,2873.2091634717026,8.340947368421054
398.4848787878788,2884.699457930882,8.340947368421054
399.61688888888887,2896.1897523900616,8.340947368421054
400.748898989899,2907.680046849242,8.340947368421054
401.8809090909091,2919.1703413084224,8.340947368421054
403.0129191919192,2930.660635767602,8.340947368421054
404.1449292929293,2942.1509302267823,8.340947368421054
405.2769393939394,2953.641224685962,8.340947368421054
406.4089494949495,2965.131519145142,8.340947368421054
407.54095959595963,2976.6218136043217,8.340947368421054
408.67296969696974,2988.112108063503,8.340947368421054
409.8049797979798,2999.6024025226825,8.340947368421054
410.9369898989899,3011.092696981862,8.340947368421054
412.069,3022.5829914410424,8.340947368421054
300.0,2415.6555196124145,9.585
301.1320101010101,2435.8423180450964,9.585
302.2640202020202,2456.029116477778,9.585
303.39603030303033,2476.21591491046,9.585
304.5280404040404,2496.402713343141,9.585
305.6600505050505,2516.5895117758228,9.585
306.7920606060606,2536.7763102085037,9.585
307.9240707070707,2556.9631086411864,9.585
309.0560808080808,2577.1499070738673,9.585
310.18809090909093,2597.336705506549,9.585
311.320101010101,2617.52350393923,9.585
312.4521111111111,2637.7103023719114,9.585
313.5841212121212,2657.8971008045933,9.585
314.7161313131313,2678.0838992372755,9.585
315.8481414141414,2698.2706976699565,9.585
316.98015151515153,2718.4574961026383,9.585
318.11216161616164,2738.64429453532,9.585
319.2441717171717,2758.831092968,9.585
